id,organisation,category,careers_homepage,listings_url,apply_url_pattern,ats_platform,js_required,playwright_required,feed_or_api,jsonld_jobposting,est_active_vacancies,pagination_method,anti_bot,import_priority,connector_type,confidence,notes
allangray,Allan Gray,financial,https://www.allangray.co.za/careers/,TBD,TBD,greenhouse,no,no,greenhouse_api,yes,20-60,api paging,low,Medium,greenhouse,low,"Asset manager; tech-leaning ATS possible. Verify board token."
ninetyone,Ninety One,financial,https://ninetyone.com/en/south-africa/careers,TBD,TBD,workday,yes,no,workday_cxs_json,no,20-60,offset,low,Low,workday,low,"Global asset manager; Workday likely."
alexforbes,Alexforbes,financial,https://www.alexforbes.com/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,30-100,unknown,medium,Low,successfactors,medium,"Retirement/consulting; SF likely."
tymebank,TymeBank,bank,https://www.tymebank.co.za/careers/,TBD,TBD,greenhouse,no,no,greenhouse_api,yes,20-60,api paging,low,Medium,greenhouse,low,"Digital bank; tech ATS likely (Greenhouse/Lever). Verify board token."
shoprite,Shoprite / Checkers / Usave,retail,https://www.shopriteholdings.co.za/careers.html,https://shoprite.jobs/,https://apply.shoprite.jobs/{id},custom,yes,maybe,unknown,maybe,800-2000,portal paging,medium,High,firecrawl_ai,likely,"WEB-VERIFIED official portal shoprite.jobs + apply.shoprite.jobs. Highest-volume SA retail employer. Custom engine; check for API/JSON-LD on build."
woolworths,Woolworths Holdings,retail,https://www.woolworths.co.za/cat/Careers,https://jobs.woolworths.co.za/,TBD,successfactors,yes,maybe,unknown,maybe,200-500,unknown,medium,High,successfactors,medium,"WEB-VERIFIED portal jobs.woolworths.co.za. Likely SuccessFactors; confirm on build. ~33k employees."
picknpay,Pick n Pay,retail,https://www.pnp.co.za/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,200-500,unknown,medium,High,successfactors,medium,"High volume; ATS unconfirmed."
massmart,Massmart (Makro/Game),retail,https://www.massmart.co.za/careers/,TBD,TBD,workday,yes,no,workday_cxs_json,no,150-400,offset,low,Medium,workday,medium,"Walmart-owned; Workday likely. Verify tenant."
tfg,The Foschini Group (TFG),retail,https://www.tfglimited.co.za/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,300-700,unknown,medium,High,successfactors,medium,"Large multi-brand retailer; SF likely."
truworths,Truworths,retail,https://www.truworths.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,100-300,unknown,medium,Medium,firecrawl_ai,medium,"Fashion retailer; ATS unconfirmed."
mrprice,Mr Price Group,retail,https://www.mrpricegroup.com/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,150-400,unknown,medium,Medium,firecrawl_ai,medium,"ATS unconfirmed."
pepkor,Pepkor (PEP/Ackermans),retail,https://www.pepkor.co.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,300-800,unknown,medium,High,firecrawl_ai,medium,"Very high volume (PEP, Ackermans). ATS unconfirmed."
clicks,Clicks Group,retail,https://www.clicksgroup.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,200-500,unknown,medium,High,firecrawl_ai,medium,"High-volume retail/pharmacy."
dischem,Dis-Chem Pharmacies,retail,https://www.dischem.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,150-400,unknown,medium,Medium,firecrawl_ai,medium,"ATS unconfirmed."
spar,SPAR Group SA,retail,https://www.spar.co.za/Careers,TBD,TBD,custom,yes,maybe,unknown,unknown,150-400,unknown,medium,Medium,firecrawl_ai,medium,"DC + store roles (many stores independently owned)."
cashbuild,Cashbuild,retail,https://www.cashbuild.co.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,50-150,unknown,medium,Low,firecrawl_ai,medium,"Building-materials retailer."
italtile,Italtile,retail,https://www.italtile.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Tile/homeware retailer."
sabinbev,SAB (AB InBev) South Africa,fmcg,https://www.ab-inbev.com/careers/,TBD,TBD,workday,yes,no,workday_cxs_json,no,50-200,offset,low,Medium,workday,medium,"AB InBev global; Workday likely."
tigerbrands,Tiger Brands,fmcg,https://www.tigerbrands.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"FMCG."
rclfoods,RCL Foods,fmcg,https://www.rclfoods.com/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,50-200,unknown,medium,Medium,firecrawl_ai,medium,"FMCG."
aspen,Aspen Pharmacare,fmcg,https://www.aspenpharma.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"Pharma manufacturer."
distell_heineken,Heineken Beverages (Distell),fmcg,https://www.heinekenbeverages.com/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"Distell + Heineken SA; SF/Taleo possible."
nestle_sa,Nestlé South Africa,fmcg,https://www.nestle-esar.com/jobs,TBD,TBD,successfactors,yes,maybe,unknown,maybe,40-150,unknown,medium,Low,successfactors,medium,"Global FMCG; SuccessFactors/Taleo likely."
unilever_sa,Unilever South Africa,fmcg,https://careers.unilever.com/,TBD,TBD,workday,yes,no,workday_cxs_json,no,30-120,offset,low,Low,workday,medium,"Global; Workday likely."
clover,Clover SA,fmcg,https://www.clover.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Dairy/FMCG."
astral,Astral Foods,fmcg,https://www.astralfoods.com/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Poultry producer."
vodacom,Vodacom,telecom,https://www.vodacom.com/careers.php,TBD,TBD,successfactors,yes,maybe,unknown,maybe,150-400,unknown,medium,High,successfactors,medium,"SuccessFactors/Avature likely."
mtn,MTN Group,telecom,https://www.mtn.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,150-400,unknown,medium,High,successfactors,medium,"SuccessFactors likely."
telkom,Telkom SA,telecom,https://www.telkom.co.za/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,100-300,unknown,medium,Medium,successfactors,medium,"SOE-linked; SuccessFactors likely."
cellc,Cell C,telecom,https://www.cellc.co.za/cellc/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,30-100,unknown,medium,Low,firecrawl_ai,medium,"Smaller headcount."
rain,rain,telecom,https://www.rain.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,10-50,unknown,low,Low,firecrawl_ai,low,"Data-only mobile network; small."
multichoice,MultiChoice / DStv,media,https://www.multichoice.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"Media; verify ATS."
naspers,Naspers / Prosus,tech,https://www.naspers.com/careers,TBD,TBD,workday,yes,no,workday_cxs_json,no,30-150,offset,low,Medium,workday,medium,"Global tech investor; Workday likely."
takealot,Takealot Group,tech,https://www.takealot.com/careers,https://boards.greenhouse.io/takealotcom,https://boards.greenhouse.io/takealotcom/jobs/{id},greenhouse,no,no,greenhouse_api,yes,30-120,api paging,low,High,greenhouse,verified,"WEB-VERIFIED Greenhouse board token 'takealotcom'. API: boards-api.greenhouse.io/v1/boards/takealotcom/jobs?content=true. Keyless, no JS, JSON-LD present."
media24,Media24,media,https://www.media24.com/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,20-80,unknown,low,Low,firecrawl_ai,low,"Naspers media arm."
deloitte_za,Deloitte South Africa,professional_services,https://www2.deloitte.com/za/en/careers.html,https://careers.smartrecruiters.com/Deloitte6,https://jobs.smartrecruiters.com/Deloitte6/{id},smartrecruiters,no,no,smartrecruiters_api,yes,100-400,api paging,low,High,smartrecruiters,verified,"WEB-VERIFIED SmartRecruiters (Deloitte6). Official apply. Keyless API."
pwc_za,PwC South Africa,professional_services,https://www.pwc.co.za/en/careers.html,TBD,TBD,workday,yes,no,workday_cxs_json,no,80-250,offset,low,Medium,workday,medium,"Big-4; PwC globally uses Workday. Verify tenant."
kpmg_za,KPMG South Africa,professional_services,https://kpmg.com/za/en/home/careers.html,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"Big-4; verify ATS."
ey_za,EY South Africa,professional_services,https://www.ey.com/en_za/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"Big-4; SuccessFactors likely."
eskom,Eskom,soe,https://www.eskom.co.za/careers/,TBD,TBD,successfactors,yes,maybe,sap,maybe,100-400,unknown,medium,High,successfactors,likely,"SAP shop; SuccessFactors/SAP e-Recruiting likely. Public-interest employer."
transnet,Transnet,soe,https://www.transnet.net/Careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,100-400,unknown,medium,High,successfactors,medium,"Major SOE; SAP/SuccessFactors likely. Confirm on build."
prasa,PRASA,soe,https://www.prasa.com/careers.html,TBD,TBD,custom,yes,maybe,unknown,unknown,20-100,unknown,medium,Medium,firecrawl_ai,medium,"Rail SOE."
sabc,SABC,soe,https://www.sabc.co.za/vacancies,TBD,TBD,custom,yes,maybe,unknown,unknown,20-80,unknown,medium,Medium,firecrawl_ai,medium,"Broadcaster SOE."
acsa,Airports Company SA (ACSA),soe,https://www.airports.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,20-80,unknown,medium,Medium,firecrawl_ai,medium,"Airports SOE."
denel,Denel,soe,https://www.denel.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,10-60,unknown,medium,Low,firecrawl_ai,medium,"Defence SOE; volatile hiring."
saa,South African Airways,soe,https://www.flysaa.com/about-us/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,20-100,unknown,medium,Medium,firecrawl_ai,medium,"National carrier SOE."
sapo,South African Post Office,soe,https://www.postoffice.co.za/careers,https://career012.successfactors.eu/career?company=postofficeP2,https://career012.successfactors.eu/career?company=postofficeP2&career_job_req_id={id},successfactors,yes,maybe,successfactors_career_site,maybe,20-100,SF career-site paging,medium,Medium,successfactors,verified,"WEB-VERIFIED SuccessFactors tenant company=postofficeP2 on career012.successfactors.eu. Under business rescue; volume varies."
rand_water,Rand Water,soe,https://www.randwater.co.za/careers,TBD,gov apply,custom,yes,maybe,unknown,unknown,20-100,unknown,medium,Medium,firecrawl_ai,medium,"Water utility SOE."
sanral,SANRAL,soe,https://www.nra.co.za/careers,TBD,gov apply,custom,yes,maybe,unknown,unknown,10-60,unknown,medium,Low,firecrawl_ai,medium,"Roads agency."
dbsa,Development Bank of Southern Africa,soe,https://www.dbsa.org/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,10-50,unknown,medium,Low,successfactors,medium,"DFI; SuccessFactors likely."
idc,Industrial Development Corporation,soe,https://www.idc.co.za/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,10-50,unknown,medium,Low,successfactors,medium,"DFI; verify ATS."
landbank,Land Bank,soe,https://www.landbank.co.za/Pages/Careers.aspx,TBD,TBD,custom,yes,maybe,unknown,unknown,10-50,unknown,medium,Low,firecrawl_ai,medium,"Agricultural DFI."
sentech,Sentech,soe,https://www.sentech.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,5-30,unknown,low,Low,firecrawl_ai,low,"Signal distributor SOE."
csir,CSIR,science_council,https://www.csir.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,low,Medium,firecrawl_ai,medium,"Research council."
hsrc,Human Sciences Research Council,science_council,https://hsrc.ac.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,10-50,unknown,low,Low,firecrawl_ai,medium,"Social-science research council."
samrc,SA Medical Research Council,science_council,https://www.samrc.ac.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,20-80,unknown,low,Medium,firecrawl_ai,medium,"Medical research council."
arc,Agricultural Research Council,science_council,https://www.arc.agric.za/Pages/Careers.aspx,TBD,gov apply,custom,yes,maybe,unknown,unknown,20-80,unknown,low,Medium,firecrawl_ai,medium,"Ag research council."
nrf,National Research Foundation,science_council,https://www.nrf.ac.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,20-80,unknown,low,Medium,firecrawl_ai,medium,"Research funding agency."
mintek,Mintek,science_council,https://www.mintek.co.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,10-50,unknown,low,Low,firecrawl_ai,medium,"Minerals research council."
sars,SARS,public_entity,https://www.sars.gov.za/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,30-120,unknown,medium,Medium,successfactors,medium,"Revenue service; verify ATS."
sarb,SA Reserve Bank,public_entity,https://www.resbank.co.za/en/home/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,20-80,unknown,low,Medium,successfactors,medium,"Central bank."
national_treasury,National Treasury,public_entity,https://www.treasury.gov.za/,https://www.treasury.gov.za/careers/,gov apply/Z83,gov,no,no,unknown,no,10-60,list paging,low,Medium,firecrawl_ai,medium,"Also advertises via DPSA circular."
nsfas,NSFAS,public_entity,https://www.nsfas.org.za/content/careers.html,TBD,gov apply,custom,yes,maybe,unknown,unknown,10-50,unknown,medium,Low,firecrawl_ai,medium,"Student financial aid scheme."
sassa,SASSA,public_entity,https://www.sassa.gov.za/Pages/Vacancies.aspx,TBD,gov apply/Z83,gov,no,no,unknown,no,20-100,list paging,low,Medium,firecrawl_ai,medium,"Social grants agency; also via DPSA."
sasol,Sasol,energy_mining,https://www.sasol.com/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,150-400,unknown,medium,High,successfactors,likely,"SAP/SuccessFactors likely."
angloamerican,Anglo American,energy_mining,https://www.angloamerican.com/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,150-400,unknown,medium,High,successfactors,medium,"Global miner; SuccessFactors/Workday."
sibanye,Sibanye-Stillwater,energy_mining,https://www.sibanyestillwater.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,100-300,unknown,medium,Medium,successfactors,medium,"Miner."
goldfields,Gold Fields,energy_mining,https://www.goldfields.com/careers.php,TBD,TBD,workday,yes,no,workday_cxs_json,no,50-200,offset,low,Medium,workday,medium,"Global miner; Workday likely."
impala,Impala Platinum (Implats),energy_mining,https://www.implats.co.za/careers.php,TBD,TBD,successfactors,yes,maybe,unknown,maybe,80-250,unknown,medium,Medium,successfactors,medium,"PGM miner."
angloplat,Anglo American Platinum (Amplats),energy_mining,https://www.angloamericanplatinum.com/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,80-250,unknown,medium,Medium,successfactors,medium,"PGM miner (Anglo group)."
exxaro,Exxaro Resources,energy_mining,https://www.exxaro.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"Coal/minerals; SF likely."
harmony,Harmony Gold,energy_mining,https://www.harmony.co.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,50-200,unknown,medium,Medium,firecrawl_ai,medium,"Gold miner."
dpsa,DPSA National Vacancy Circular,government,https://www.dpsa.gov.za/,https://www.dpsa.gov.za/vacancies.php,per-department (Z83 form / dept contact),pdf_gov,no,no,pdf_circular,no,1000-3000,weekly circular (PDF),low,High,firecrawl_ai_pdf,verified,"Canonical national+provincial govt vacancies (weekly PDF circular). Apply routes to each department. Needs PDF+AI extraction. Single largest official-jobs inventory in SA."
wcgov,Western Cape Government Jobs,government,https://www.westerncape.gov.za/jobs,https://www.westerncape.gov.za/jobs,gov apply/Z83,gov,partial,maybe,unknown,no,100-400,list paging,low,High,firecrawl_ai,medium,"Provincial portal (also in DPSA circular)."
gpgov,Gauteng Provincial Government,government,https://professionaljobcentre.gpg.gov.za/,https://professionaljobcentre.gpg.gov.za/,portal apply,custom_gov,yes,maybe,unknown,no,100-500,portal paging,medium,High,firecrawl_ai,medium,"GPG Professional Job Centre portal."
kzngov,KwaZulu-Natal Provincial Government,government,https://www.kznonline.gov.za/index.php/government-vacancies,TBD,gov apply/Z83,gov,partial,maybe,unknown,no,80-300,list paging,low,Medium,firecrawl_ai,medium,"Provincial vacancies (also DPSA)."
ecprov,Eastern Cape Provincial Government,government,https://www.ecprov.gov.za/,TBD,gov apply/Z83,gov,partial,maybe,unknown,no,80-300,list paging,low,Medium,firecrawl_ai,low,"Provincial vacancies via DPSA circular."
saps,South African Police Service,government,https://www.saps.gov.za/careers/careers.php,TBD,gov apply/recruitment,gov,no,no,unknown,no,50-500,list paging,low,High,firecrawl_ai,medium,"Large periodic recruitment drives (trainees)."
sandf,SA National Defence Force,government,https://www.dod.mil.za/,TBD,gov recruitment (MSDS),gov,no,no,unknown,no,50-500,list paging,low,Medium,firecrawl_ai,low,"Military Skills Development System intakes."
parliament_rsa,Parliament of RSA,government,https://www.parliament.gov.za/careers,TBD,gov apply,gov,no,no,unknown,no,5-40,list paging,low,Low,firecrawl_ai,low,"Legislature vacancies."
capetown_muni,City of Cape Town,municipality,https://www.capetown.gov.za/Work%20and%20business/careers-at-the-city,TBD,gov apply,custom_gov,yes,maybe,unknown,no,50-200,portal paging,medium,High,firecrawl_ai,medium,"Metro municipality."
joburg_muni,City of Johannesburg,municipality,https://www.joburg.org.za/,TBD,gov apply,custom_gov,yes,maybe,unknown,no,30-150,portal paging,medium,Medium,firecrawl_ai,medium,"Metro municipality."
ethekwini_muni,eThekwini Municipality,municipality,https://www.durban.gov.za/pages/business/vacancies,TBD,gov apply,custom_gov,yes,maybe,unknown,no,30-150,portal paging,medium,Medium,firecrawl_ai,medium,"Durban metro."
tshwane_muni,City of Tshwane,municipality,https://www.tshwane.gov.za/,TBD,gov apply,custom_gov,yes,maybe,unknown,no,20-120,portal paging,medium,Medium,firecrawl_ai,medium,"Pretoria metro."
ekurhuleni_muni,City of Ekurhuleni,municipality,https://www.ekurhuleni.gov.za/vacancies/,TBD,gov apply,custom_gov,yes,maybe,unknown,no,20-120,portal paging,medium,Medium,firecrawl_ai,medium,"East Rand metro."
nmb_muni,Nelson Mandela Bay Municipality,municipality,https://www.nelsonmandelabay.gov.za/vacancies,TBD,gov apply,custom_gov,yes,maybe,unknown,no,10-80,portal paging,medium,Low,firecrawl_ai,low,"Gqeberha metro."
mangaung_muni,Mangaung Metro,municipality,https://www.mangaung.co.za/vacancies/,TBD,gov apply,custom_gov,yes,maybe,unknown,no,10-80,portal paging,medium,Low,firecrawl_ai,low,"Bloemfontein metro."
buffalocity_muni,Buffalo City Metro,municipality,https://www.buffalocity.gov.za/vacancies,TBD,gov apply,custom_gov,yes,maybe,unknown,no,10-80,portal paging,medium,Low,firecrawl_ai,low,"East London metro."
uct,University of Cape Town,university,https://www.uct.ac.za/main/explore-uct/careers,http://hr.uct.ac.za/vacancies,iRecruitment/custom,oracle_peoplesoft,yes,maybe,unknown,maybe,50-200,list paging,low,High,firecrawl_ai,medium,"HE sector often Oracle iRecruitment; verify."
wits,University of the Witwatersrand,university,https://www.wits.ac.za/careers/,https://irec.wits.ac.za/,iRecruitment,oracle_peoplesoft,yes,maybe,unknown,maybe,50-200,list paging,low,High,firecrawl_ai,medium,"Oracle iRecruitment (irec.wits.ac.za)."
up,University of Pretoria,university,https://www.up.ac.za/careers-at-up,TBD,TBD,custom,yes,maybe,unknown,maybe,50-200,list paging,low,Medium,firecrawl_ai,medium,"Verify ATS."
sun,Stellenbosch University,university,https://www.sun.ac.za/english/careers,http://www.sun.ac.za/english/careers,TBD,custom,yes,maybe,unknown,maybe,40-150,list paging,low,Medium,firecrawl_ai,medium,"Verify ATS."
ukzn,University of KwaZulu-Natal,university,https://hr.ukzn.ac.za/vacancies/,TBD,TBD,custom,yes,maybe,unknown,maybe,30-120,list paging,low,Medium,firecrawl_ai,medium,"Verify."
unisa,UNISA,university,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Vacancies,TBD,TBD,successfactors,yes,maybe,unknown,maybe,40-150,SF paging,medium,Medium,successfactors,medium,"Large distance university; SuccessFactors likely."
uj,University of Johannesburg,university,https://www.uj.ac.za/vacancies/,TBD,TBD,custom,yes,maybe,unknown,maybe,40-150,list paging,low,Medium,firecrawl_ai,medium,"Large contact university."
nwu,North-West University,university,https://www.nwu.ac.za/vacancies,TBD,TBD,custom,yes,maybe,unknown,maybe,40-150,list paging,low,Medium,firecrawl_ai,medium,"Verify ATS."
ufs,University of the Free State,university,https://www.ufs.ac.za/vacancies,TBD,TBD,custom,yes,maybe,unknown,maybe,30-120,list paging,low,Medium,firecrawl_ai,medium,"Verify ATS."
ru,Rhodes University,university,https://www.ru.ac.za/humanresources/vacancies/,TBD,TBD,custom,yes,maybe,unknown,maybe,20-80,list paging,low,Low,firecrawl_ai,medium,"Smaller university."
nmu,Nelson Mandela University,university,https://www.mandela.ac.za/Careers,TBD,TBD,custom,yes,maybe,unknown,maybe,30-120,list paging,low,Medium,firecrawl_ai,medium,"Gqeberha; verify ATS."
uwc,University of the Western Cape,university,https://www.uwc.ac.za/study/vacancies,TBD,TBD,custom,yes,maybe,unknown,maybe,30-120,list paging,low,Medium,firecrawl_ai,medium,"Verify ATS."
ul,University of Limpopo,university,https://www.ul.ac.za/vacancies,TBD,TBD,custom,yes,maybe,unknown,maybe,20-100,list paging,low,Low,firecrawl_ai,low,"Verify ATS."
ufh,University of Fort Hare,university,https://www.ufh.ac.za/vacancies,TBD,TBD,custom,yes,maybe,unknown,maybe,20-80,list paging,low,Low,firecrawl_ai,low,"Verify ATS."
univen,University of Venda,university,https://www.univen.ac.za/vacancies/,TBD,TBD,custom,yes,maybe,unknown,maybe,20-80,list paging,low,Low,firecrawl_ai,low,"Verify ATS."
wsu,Walter Sisulu University,university,https://www.wsu.ac.za/index.php/careers,TBD,TBD,custom,yes,maybe,unknown,maybe,20-100,list paging,low,Low,firecrawl_ai,low,"Verify ATS."
unizulu,University of Zululand,university,https://www.unizulu.ac.za/vacancies/,TBD,TBD,custom,yes,maybe,unknown,maybe,15-70,list paging,low,Low,firecrawl_ai,low,"Verify ATS."
smu,Sefako Makgatho Health Sciences University,university,https://www.smu.ac.za/vacancies/,TBD,TBD,custom,yes,maybe,unknown,maybe,15-70,list paging,low,Low,firecrawl_ai,low,"Health-sciences university."
cput,Cape Peninsula University of Technology,university,https://www.cput.ac.za/careers,TBD,TBD,custom,yes,maybe,unknown,maybe,30-120,list paging,low,Medium,firecrawl_ai,medium,"University of technology."
tut,Tshwane University of Technology,university,https://www.tut.ac.za/careers,TBD,TBD,custom,yes,maybe,unknown,maybe,40-150,list paging,low,Medium,firecrawl_ai,medium,"Very large UoT."
dut,Durban University of Technology,university,https://www.dut.ac.za/careers/,TBD,TBD,custom,yes,maybe,unknown,maybe,30-120,list paging,low,Medium,firecrawl_ai,medium,"UoT."
vut,Vaal University of Technology,university,https://www.vut.ac.za/vacancies/,TBD,TBD,custom,yes,maybe,unknown,maybe,15-70,list paging,low,Low,firecrawl_ai,low,"UoT."
